VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-06 07:19:00,2015-01-06 09:02:00,2,19.49,-73.975326,40.794013,1,N,-73.955548,40.78105,1,51.56,0.0,0.5,1.84,0.0,0.3,54.2
2,2015-01-08 06:02:00,2015-01-08 06:23:00,6,10.42,-73.983033,40.754254,1,N,-73.983563,40.770498,1,32.42,0.0,0.5,4.18,0.0,0.3,37.4
2,2015-01-01 04:59:00,2015-01-01 06:04:00,4,15.49,-73.960097,40.7572,1,N,-73.944757,40.767109,3,39.15,0.0,0.5,4.33,0.0,0.3,44.28
2,2015-01-28 00:51:00,2015-01-28 01:58:00,1,5.74,-73.983316,40.719091,1,N,-73.966116,40.701908,1,19.19,0.0,0.5,1.38,0.0,0.3,21.37
2,2015-01-10 01:25:00,2015-01-10 01:46:00,2,14.32,-73.91816,40.713662,1,N,-73.90163,40.714116,1,41.34,0.5,0.5,5.37,0.0,0.3,48.01
2,2015-01-16 13:11:00,2015-01-16 15:10:00,3,2.33,-73.979441,40.737558,1,N,-73.987979,40.741192,1,11.61,0.0,0.5,1.91,0.0,0.3,14.32
1,2015-01-28 04:32:00,2015-01-28 04:44:00,4,12.65,-73.927601,40.721582,1,N,-73.942067,40.706892,3,32.47,0.5,0.5,0.27,0.0,0.3,34.04
1,2015-01-19 22:25:00,2015-01-20 00:10:00,2,8.85,-73.99788,40.708087,1,N,-74.008288,40.691842,1,29.02,1.0,0.5,3.7,0.0,0.3,34.52
1,2015-01-31 04:21:00,2015-01-31 05:58:00,5,7.44,-73.969648,40.724773,1,Y,-73.988019,40.738992,2,26.18,0.0,0.5,0.51,0.0,0.3,27.49
2,2015-01-07 03:32:00,2015-01-07 05:10:00,2,19.01,-73.942027,40.704806,1,N,-73.927768,40.711154,1,56.39,0.0,0.5,7.24,0.0,0.3,64.43
1,2015-01-27 19:23:00,2015-01-27 19:39:00,4,9.44,-73.97342,40.764329,1,N,-73.957206,40.75216,1,29.05,0.0,0.5,0.11,0.0,0.3,29.96
1,2015-01-03 22:16:00,2015-01-03 23:50:00,4,0.95,-73.981723,40.784488,1,N,-73.964257,40.766055,1,10.53,1.0,0.5,1.15,0.0,0.3,13.48
2,2015-01-24 02:48:00,2015-01-24 04:31:00,5,15.64,-73.970486,40.737202,1,N,-73.96089,40.726731,1,42.51,0.0,0.5,4.22,0.0,0.3,47.53
2,2015-01-13 18:48:00,2015-01-13 20:32:00,4,2.28,-74.018699,40.790538,1,N,-74.020762,40.782267,1,8.89,0.0,0.5,1.34,0.0,0.3,11.03
1,2015-01-25 06:44:00,2015-01-25 07:41:00,5,11.22,-73.96067,40.705756,1,N,-73.97495,40.716216,1,32.45,0.0,0.5,0.55,0.0,0.3,33.8
2,2015-01-10 08:49:00,2015-01-10 09:20:00,5,2.15,-73.935251,40.708135,1,N,-73.917361,40.727575,2,15.25,0.0,0.5,0.25,0.0,0.3,16.3
2,2015-01-22 06:26:00,2015-01-22 07:44:00,6,10.11,-73.911237,40.71112,1,N,-73.926536,40.717088,2,25.38,0.0,0.5,4.88,0.0,0.3,31.06
1,2015-01-17 23:32:00,2015-01-18 00:14:00,5,19.57,-73.96764,40.780211,1,N,-73.950875,40.770331,1,54.48,0.0,0.5,1.81,0.0,0.3,57.09
2,2015-01-15 00:52:00,2015-01-15 01:50:00,6,1.39,-73.949882,40.790116,1,N,-73.958787,40.777641,1,6.28,0.0,0.5,0.73,0.0,0.3,7.81
1,2015-01-09 03:26:00,2015-01-09 04:33:00,5,16.37,-73.955668,40.730953,1,N,-73.937676,40.739982,1,47.77,0.0,0.5,8.91,5.0,0.3,62.48
2,2015-01-13 04:54:00,2015-01-13 05:31:00,1,19.71,-73.926688,40.748037,2,N,-73.913155,40.746785,1,53.05,0.0,0.5,0.6,5.0,0.3,59.45
2,2015-01-17 04:30:00,2015-01-17 04:39:00,3,15.5,-73.900404,40.755543,1,N,-73.915237,40.773705,1,48.19,0.0,0.5,6.47,0.0,0.3,55.46
1,2015-01-28 07:38:00,2015-01-28 08:08:00,6,16.71,-73.96022,40.747621,2,N,-73.948547,40.751219,1,44.86,0.0,0.5,7.04,0.0,0.3,52.7
1,2015-01-11 18:38:00,2015-01-11 19:20:00,3,12.36,-73.945928,40.798046,1,N,-73.944031,40.796083,2,37.26,0.0,0.5,3.9,0.0,0.3,41.96
2,2015-01-29 03:09:00,2015-01-29 04:09:00,5,1.79,-73.918949,40.776892,1,N,-73.915763,40.770554,1,4.94,0.0,0.5,0.58,0.0,0.3,6.32
2,2015-01-16 07:03:00,2015-01-16 08:51:00,2,17.55,-73.93642,40.741166,1,N,-73.923548,40.734969,1,49.03,0.0,0.5,5.38,0.0,0.3,55.21
1,2015-01-12 13:33:00,2015-01-12 14:26:00,6,1.27,-73.95959,40.769039,1,N,-73.942755,40.751483,1,11.16,0.5,0.5,1.67,0.0,0.3,14.13
2,2015-01-15 14:55:00,2015-01-15 16:25:00,6,10.86,-73.991666,40.775996,1,N,-73.984179,40.789773,2,34.35,0.0,0.5,5.96,0.0,0.3,41.11
2,2015-01-19 14:24:00,2015-01-19 16:09:00,4,16.89,-73.998126,40.756397,1,N,-73.999167,40.750601,1,43.13,0.0,0.5,5.04,0.0,0.3,48.97
2,2015-01-15 07:39:00,2015-01-15 09:36:00,2,7.08,-73.952265,40.737877,1,N,-73.959051,40.755225,1,26.7,0.0,0.5,1.95,0.0,0.3,29.45
1,2015-01-30 10:29:00,2015-01-30 12:08:00,4,1.51,-74.013322,40.784231,6,N,-74.010282,40.800927,1,3.95,1.0,0.5,0.39,0.0,0.3,6.14
2,2015-01-30 01:14:00,2015-01-30 02:33:00,4,15.51,-73.951406,40.727998,1,N,-73.96171,40.712591,1,40.63,0.0,0.5,4.72,0.0,0.3,46.15
2,2015-01-04 12:42:00,2015-01-04 12:49:00,2,3.12,-74.013781,40.73366,1,N,-74.023596,40.740921,2,8.44,0.0,0.5,0.8,0.0,0.3,10.04
2,2015-01-30 16:04:00,2015-01-30 17:10:00,4,18.69,-73.930483,40.740852,1,N,-73.921619,40.722776,2,56.64,0.5,0.5,8.5,0.0,0.3,66.44
2,2015-01-03 20:36:00,2015-01-03 20:45:00,1,18.2,-73.991717,40.763376,1,N,-73.983166,40.779363,1,48.67,0.0,0.5,4.27,0.0,0.3,53.74
2,2015-01-17 00:46:00,2015-01-17 01:56:00,3,12.67,-73.954774,40.790647,1,N,-73.969203,40.802408,1,32.85,0.0,0.5,5.87,0.0,0.3,39.52
1,2015-01-06 00:36:00,2015-01-06 01:07:00,2,11.61,-73.930726,40.703353,1,N,-73.946301,40.717211,1,36.66,0.0,0.5,5.85,0.0,0.3,43.31
1,2015-01-15 03:11:00,2015-01-15 04:00:00,3,14.03,-73.933596,40.764115,1,N,-73.917258,40.76745,1,40.51,0.0,0.5,7.67,0.0,0.3,48.98
2,2015-01-13 07:17:00,2015-01-13 08:50:00,4,12.06,-73.989278,40.77261,1,Y,-73.983223,40.783459,1,31.18,0.0,0.5,0.48,0.0,0.3,32.46
1,2015-01-09 21:10:00,2015-01-09 21:37:00,1,3.73,-74.005263,40.723591,1,N,-74.016167,40.727906,1,11.18,0.5,0.5,0.46,0.0,0.3,12.94
1,2015-01-26 08:34:00,2015-01-26 09:41:00,2,18.5,-73.970259,40.786352,1,N,-73.988946,40.802862,1,50.9,0.0,0.5,1.68,0.0,0.3,53.38
1,2015-01-01 16:28:00,2015-01-01 17:35:00,4,4.65,-73.98669,40.72201,1,N,-73.972264,40.723413,1,16.77,0.0,0.5,1.04,0.0,0.3,18.61
2,2015-01-19 23:18:00,2015-01-20 00:24:00,3,1.21,-73.995383,40.719069,1,N,-73.997252,40.720044,1,7.75,0.0,0.5,0.87,0.0,0.3,9.42
2,2015-01-01 07:28:00,2015-01-01 08:27:00,1,5.78,-73.906466,40.737331,1,N,-73.897827,40.743688,1,20.89,0.0,0.5,0.97,0.0,0.3,22.66
1,2015-01-29 07:53:00,2015-01-29 09:48:00,6,11.36,-73.951667,40.788746,1,N,-73.933161,40.806522,1,35.6,0.0,0.5,2.31,0.0,0.3,38.71
2,2015-01-10 06:32:00,2015-01-10 06:59:00,2,17.59,-73.918225,40.712278,1,N,-73.92479,40.725282,1,50.41,0.0,0.5,8.37,0.0,0.3,59.58
2,2015-01-30 08:33:00,2015-01-30 09:30:00,6,15.39,-73.984664,40.794845,1,N,-73.97267,40.791854,1,39.88,0.0,0.5,4.32,0.0,0.3,45.0
1,2015-01-07 08:53:00,2015-01-07 09:19:00,5,10.75,-73.919808,40.79844,1,N,-73.935098,40.801501,1,28.59,0.0,0.5,3.73,5.0,0.3,38.12
2,2015-01-23 20:41:00,2015-01-23 22:11:00,5,17.54,-74.003574,40.790002,1,N,-73.986997,40.786753,1,49.83,0.0,0.5,0.47,0.0,0.3,51.1
2,2015-01-11 00:50:00,2015-01-11 01:47:00,4,8.09,-73.947622,40.724535,1,N,-73.944966,40.723577,1,23.12,1.0,0.5,3.39,0.0,0.3,28.31
2,2015-01-04 14:19:00,2015-01-04 15:46:00,1,10.18,-73.948591,40.705143,1,N,-73.965585,40.71427,1,31.42,0.0,0.5,2.73,0.0,0.3,34.95
2,2015-01-03 17:36:00,2015-01-03 19:28:00,3,12.01,-73.936636,40.727215,1,N,-73.918627,40.725055,1,33.63,0.0,0.5,5.87,0.0,0.3,40.3
1,2015-01-21 16:22:00,2015-01-21 18:07:00,3,5.37,-73.936927,40.78492,4,N,-73.95535,40.793143,2,18.32,0.0,0.5,2.08,5.0,0.3,26.2
2,2015-01-14 14:52:00,2015-01-14 15:03:00,6,19.44,-73.984318,40.79244,1,N,-73.983421,40.798221,1,58.03,0.0,0.5,6.51,0.0,0.3,65.34
2,2015-01-03 04:42:00,2015-01-03 05:26:00,5,11.66,-73.967076,40.740449,1,N,-73.966269,40.737521,2,37.2,0.0,0.5,3.44,10.0,0.3,51.44
1,2015-01-27 22:12:00,2015-01-27 22:29:00,6,1.87,-73.973924,40.793259,1,Y,-73.974733,40.796489,1,4.76,0.0,0.5,0.09,0.0,0.3,5.65
2,2015-01-20 04:00:00,2015-01-20 05:38:00,6,6.29,-74.019598,40.746731,1,N,-74.003185,40.728535,1,24.26,0.0,0.5,0.6,10.0,0.3,35.66
2,2015-01-05 04:42:00,2015-01-05 05:56:00,1,12.22,-73.90212,40.78842,1,N,-73.906057,40.801933,1,39.58,0.5,0.5,0.95,0.0,0.3,41.83
1,2015-01-25 08:48:00,2015-01-25 08:55:00,3,12.78,-73.920855,40.780077,1,N,-73.930446,40.780687,1,34.11,1.0,0.5,6.12,0.0,0.3,42.03
1,2015-01-13 23:46:00,2015-01-14 01:19:00,3,2.28,-73.948847,40.758009,1,N,-73.930621,40.772494,2,14.48,0.0,0.5,1.6,0.0,0.3,16.88
2,2015-01-24 14:37:00,2015-01-24 15:53:00,5,10.89,-73.936514,40.704878,1,N,-73.954054,40.720195,1,36.84,1.0,0.5,4.21,0.0,0.3,42.85
1,2015-01-08 12:44:00,2015-01-08 13:21:00,1,13.34,-73.914564,40.779743,1,N,-73.897361,40.763976,1,41.86,0.0,0.5,7.38,10.0,0.3,60.04
2,2015-01-25 18:30:00,2015-01-25 18:57:00,4,4.96,-74.019383,40.781995,1,N,-74.029035,40.76972,1,21.48,0.0,0.5,2.41,0.0,0.3,24.69
2,2015-01-02 23:44:00,2015-01-03 00:23:00,4,0.86,-74.004586,40.728334,1,N,-74.020486,40.745823,1,6.47,0.0,0.5,0.39,0.0,0.3,7.66
1,2015-01-22 16:09:00,2015-01-22 17:18:00,5,17.12,-74.01305,40.707469,1,N,-74.009274,40.702814,1,52.71,0.5,0.5,3.92,5.0,0.3,62.93
1,2015-01-11 22:25:00,2015-01-12 00:07:00,5,8.81,-73.987165,40.799712,1,N,-74.00387,40.806932,1,26.54,0.0,0.5,5.05,0.0,0.3,32.39
1,2015-01-28 20:46:00,2015-01-28 22:10:00,1,15.32,-73.917117,40.796452,1,N,-73.907283,40.784466,2,42.73,0.5,0.5,4.81,0.0,0.3,48.84
2,2015-01-27 07:59:00,2015-01-27 08:49:00,4,3.5,-73.995556,40.709116,1,N,-74.003789,40.72559,3,13.28,0.0,0.5,1.23,0.0,0.3,15.31
2,2015-01-07 16:43:00,2015-01-07 18:11:00,5,10.09,-73.968363,40.720052,1,N,-73.975949,40.718261,1,25.86,0.0,0.5,2.03,0.0,0.3,28.69
2,2015-01-31 05:31:00,2015-01-31 05:46:00,3,15.71,-73.936602,40.786012,1,N,-73.917136,40.771712,1,39.66,0.0,0.5,5.57,0.0,0.3,46.03
2,2015-01-18 00:01:00,2015-01-18 01:42:00,2,1.15,-74.009456,40.735063,3,N,-74.001728,40.74792,1,3.65,0.0,0.5,0.7,0.0,0.3,5.15
2,2015-01-27 05:08:00,2015-01-27 05:18:00,2,6.33,-73.946007,40.761294,1,N,-73.941517,40.76067,1,25.17,0.0,0.5,3.01,0.0,0.3,28.98
1,2015-01-31 02:40:00,2015-01-31 03:44:00,1,1.68,-73.932209,40.708163,1,N,-73.913175,40.701639,1,6.66,0.5,0.5,0.88,0.0,0.3,8.84
2,2015-01-18 05:17:00,2015-01-18 06:44:00,3,19.51,-73.992585,40.799633,1,N,-74.011359,40.789941,1,55.27,1.0,0.5,8.04,0.0,0.3,65.11
2,2015-01-20 04:03:00,2015-01-20 05:39:00,1,1.28,-73.975475,40.798765,1,N,-73.976009,40.813702,2,11.88,0.0,0.5,0.66,0.0,0.3,13.34
2,2015-01-22 11:02:00,2015-01-22 12:55:00,6,5.1,-73.964102,40.7836,1,N,-73.945247,40.770839,2,20.5,0.0,0.5,1.01,5.0,0.3,27.31
1,2015-01-15 13:55:00,2015-01-15 15:42:00,4,3.69,-73.976892,40.759295,1,N,-73.983884,40.770234,1,13.13,1.0,0.5,1.19,0.0,0.3,16.12
2,2015-01-03 21:13:00,2015-01-03 22:37:00,3,16.66,-73.957627,40.7337,1,N,-73.963257,40.728875,1,45.97,0.0,0.5,4.9,0.0,0.3,51.67
2,2015-01-24 11:55:00,2015-01-24 12:27:00,2,11.03,-73.916294,40.755814,1,N,-73.934226,40.761414,1,27.91,0.0,0.5,0.49,0.0,0.3,29.2
1,2015-01-19 13:11:00,2015-01-19 15:01:00,2,13.88,-73.972315,40.74799,3,N,-73.982146,40.748859,1,34.86,0.0,0.5,0.88,0.0,0.3,36.54
1,2015-01-20 15:49:00,2015-01-20 17:39:00,6,4.17,-73.932052,40.716238,1,N,-73.924347,40.729763,2,17.74,0.0,0.5,1.76,0.0,0.3,20.3
1,2015-01-08 14:39:00,2015-01-08 16:36:00,6,13.95,-74.016354,40.793095,1,N,-74.03209,40.799409,6,41.63,0.0,0.5,8.14,0.0,0.3,50.57
2,2015-01-16 12:08:00,2015-01-16 13:29:00,6,13.18,-73.985358,40.710911,1,N,-73.970242,40.703599,2,40.61,0.0,0.5,2.41,0.0,0.3,43.82
1,2015-01-21 14:00:00,2015-01-21 15:20:00,1,7.92,-73.94682,40.756344,1,N,-73.966234,40.759826,1,25.28,0.0,0.5,3.84,0.0,0.3,29.92
2,2015-01-21 07:47:00,2015-01-21 08:57:00,5,7.15,-73.962498,40.702564,1,N,-73.966724,40.704541,2,21.69,0.5,0.5,2.26,5.0,0.3,30.25
2,2015-01-11 22:15:00,2015-01-11 23:06:00,5,13.27,-74.011446,40.795466,1,N,-74.024793,40.80016,1,36.97,0.0,0.5,6.87,0.0,0.3,44.64
2,2015-01-08 15:41:00,2015-01-08 16:21:00,3,19.55,-73.933884,40.739991,1,N,-73.921892,40.727374,1,57.1,0.5,0.5,2.12,5.0,0.3,65.52
1,2015-01-20 03:53:00,2015-01-20 04:04:00,6,10.77,-73.92211,40.737351,1,N,-73.932987,40.725833,1,28.04,0.0,0.5,4.71,5.0,0.3,38.55
2,2015-01-16 16:25:00,2015-01-16 18:00:00,1,16.54,-73.926337,40.727481,1,N,-73.928266,40.730945,1,45.59,0.5,0.5,7.87,0.0,0.3,54.76
2,2015-01-17 21:47:00,2015-01-17 22:28:00,5,11.16,-73.942963,40.760709,1,N,-73.923452,40.746167,1,30.22,0.0,0.5,2.59,0.0,0.3,33.61
1,2015-01-17 10:38:00,2015-01-17 11:06:00,5,14.62,-74.004593,40.710411,1,N,-73.988825,40.698086,1,42.35,0.0,0.5,3.01,0.0,0.3,46.16
1,2015-01-17 01:59:00,2015-01-17 02:08:00,6,5.79,-74.011608,40.764017,1,N,-74.023995,40.74611,1,20.4,0.0,0.5,4.06,0.0,0.3,25.26
1,2015-01-20 07:21:00,2015-01-20 08:09:00,2,12.88,-74.009348,40.796167,1,N,-73.999101,40.790069,1,39.75,0.5,0.5,7.37,0.0,0.3,48.42
2,2015-01-28 18:39:00,2015-01-28 18:48:00,6,5.25,-73.931538,40.77686,1,N,-73.916951,40.781199,1,19.84,0.0,0.5,0.25,0.0,0.3,20.89
1,2015-01-23 17:44:00,2015-01-23 18:54:00,4,5.16,-73.974291,40.734632,1,N,-73.959357,40.721103,2,18.0,0.0,0.5,2.04,0.0,0.3,20.84
2,2015-01-12 14:48:00,2015-01-12 15:34:00,6,13.65,-73.955232,40.762795,1,N,-73.942483,40.755696,1,39.45,0.0,0.5,1.76,10.0,0.3,52.01
2,2015-01-18 09:24:00,2015-01-18 10:34:00,6,18.49,-74.004097,40.786201,1,N,-73.985985,40.799209,1,51.11,0.0,0.5,4.89,0.0,0.3,56.8
2,2015-01-15 03:44:00,2015-01-15 04:48:00,2,12.09,-73.926793,40.712204,1,N,-73.94678,40.692911,1,39.59,0.0,0.5,3.06,0.0,0.3,43.45
1,2015-01-02 09:24:00,2015-01-02 09:30:00,3,12.58,-73.961848,40.775425,1,N,-73.95054,40.766041,1,34.42,0.0,0.5,4.26,0.0,0.3,39.48
2,2015-01-08 16:36:00,2015-01-08 18:23:00,5,13.29,-73.993504,40.717375,1,N,-74.005719,40.712086,1,41.7,0.5,0.5,6.12,0.0,0.3,49.12
2,2015-01-30 22:01:00,2015-01-30 23:07:00,5,5.57,-73.962239,40.701919,1,Y,-73.972591,40.720954,2,21.52,1.0,0.5,2.1,0.0,0.3,25.42
2,2015-01-28 10:20:00,2015-01-28 11:16:00,4,2.98,-73.988078,40.714924,1,N,-73.983514,40.729306,1,16.1,1.0,0.5,0.43,0.0,0.3,18.33
2,2015-01-24 08:40:00,2015-01-24 08:45:00,4,5.95,-73.922934,40.707642,1,N,-73.923116,40.703096,1,24.17,0.0,0.5,4.3,0.0,0.3,29.27
1,2015-01-13 18:04:00,2015-01-13 18:40:00,3,1.43,-73.901407,40.744327,1,N,-73.917192,40.72575,1,3.96,0.0,0.5,0.37,10.0,0.3,15.13
2,2015-01-20 14:18:00,2015-01-20 14:29:00,2,8.54,-73.925939,40.735484,1,N,-73.907224,40.727302,2,26.84,0.0,0.5,2.05,0.0,0.3,29.69
2,2015-01-17 03:03:00,2015-01-17 04:25:00,5,9.83,-74.011689,40.795983,1,N,-74.027131,40.795423,2,33.52,0.0,0.5,4.13,0.0,0.3,38.45
2,2015-01-10 14:16:00,2015-01-10 15:00:00,1,7.83,-73.948176,40.709501,1,N,-73.931044,40.71654,1,25.08,0.0,0.5,4.98,0.0,0.3,30.86
2,2015-01-30 22:38:00,2015-01-31 00:35:00,6,12.9,-73.988988,40.754402,1,N,-73.982742,40.741499,1,34.47,1.0,0.5,6.46,0.0,0.3,42.73
2,2015-01-18 01:28:00,2015-01-18 02:57:00,4,4.66,-73.932882,40.781779,1,N,-73.929269,40.782113,1,16.72,0.0,0.5,2.3,5.0,0.3,24.82
1,2015-01-15 04:46:00,2015-01-15 04:58:00,4,5.31,-73.964613,40.700933,1,N,-73.95261,40.689095,1,20.54,0.5,0.5,2.53,0.0,0.3,24.37
1,2015-01-09 15:12:00,2015-01-09 15:25:00,6,15.34,-73.953493,40.700523,1,N,-73.958775,40.6936,1,38.7,0.0,0.5,6.79,10.0,0.3,56.29
2,2015-01-04 14:03:00,2015-01-04 14:27:00,5,3.19,-73.926352,40.721721,1,N,-73.939099,40.717228,1,14.6,1.0,0.5,1.49,0.0,0.3,17.89
1,2015-01-05 15:57:00,2015-01-05 16:56:00,4,9.99,-73.935647,40.70528,1,N,-73.952564,40.687622,1,30.97,0.5,0.5,4.38,0.0,0.3,36.65
1,2015-01-19 15:44:00,2015-01-19 17:28:00,3,5.1,-74.005315,40.773551,1,N,-73.99597,40.765528,1,16.46,0.0,0.5,1.63,0.0,0.3,18.89
2,2015-01-15 05:46:00,2015-01-15 07:08:00,5,19.03,-73.930334,40.773999,3,N,-73.922324,40.777431,1,49.61,0.0,0.5,9.22,0.0,0.3,59.63
1,2015-01-19 09:34:00,2015-01-19 10:24:00,2,9.5,-73.992935,40.737691,1,N,-73.987688,40.719685,2,28.57,1.0,0.5,4.46,0.0,0.3,34.83
1,2015-01-09 21:45:00,2015-01-09 22:49:00,6,18.49,-74.004238,40.739884,1,Y,-74.022787,40.730912,1,50.95,0.5,0.5,9.93,0.0,0.3,62.18
2,2015-01-31 09:24:00,2015-01-31 10:45:00,2,17.14,-73.987823,40.715638,1,N,-73.995216,40.726512,1,43.3,0.0,0.5,6.34,0.0,0.3,50.44
1,2015-01-24 14:47:00,2015-01-24 16:02:00,2,15.86,-73.972786,40.782787,3,N,-73.96378,40.770434,1,45.9,0.0,0.5,8.69,10.0,0.3,65.39
1,2015-01-29 08:32:00,2015-01-29 09:26:00,1,2.23,-73.933599,40.741799,4,N,-73.93744,40.743501,2,12.42,0.0,0.5,1.52,0.0,0.3,14.74
2,2015-01-02 00:09:00,2015-01-02 01:38:00,3,4.71,-74.003085,40.766419,1,N,-74.020594,40.766919,2,12.76,0.0,0.5,0.13,0.0,0.3,13.69
1,2015-01-07 20:19:00,2015-01-07 20:49:00,6,10.63,-73.980374,40.775675,1,N,-73.962509,40.778082,2,28.62,0.0,0.5,3.16,0.0,0.3,32.58
1,2015-01-03 07:43:00,2015-01-03 09:24:00,2,7.75,-73.973113,40.779834,1,N,-73.985288,40.767303,1,23.9,0.0,0.5,3.62,0.0,0.3,28.32
2,2015-01-08 22:08:00,2015-01-08 22:59:00,4,10.64,-73.996499,40.789696,1,N,-74.001975,40.805583,1,31.09,0.0,0.5,3.72,0.0,0.3,35.61
2,2015-01-08 04:31:00,2015-01-08 05:23:00,1,12.5,-74.001747,40.744032,1,N,-73.983062,40.740743,5,32.08,0.0,0.5,4.07,0.0,0.3,36.95
2,2015-01-06 22:26:00,2015-01-06 23:39:00,6,14.53,-73.952829,40.75274,1,N,-73.938502,40.765503,1,45.22,0.5,0.5,2.84,0.0,0.3,49.36
2,2015-01-15 11:43:00,2015-01-15 13:00:00,5,16.65,-73.977064,40.749421,1,N,-73.968301,40.746226,2,44.98,0.5,0.5,1.72,0.0,0.3,48.0
2,2015-01-23 15:21:00,2015-01-23 15:42:00,5,19.59,-73.919026,40.747129,1,N,-73.911573,40.729914,1,55.32,1.0,0.5,2.51,5.0,0.3,64.63
1,2015-01-23 02:03:00,2015-01-23 03:05:00,5,4.65,-73.958481,40.730531,1,N,-73.943633,40.741174,2,11.95,0.0,0.5,0.62,5.0,0.3,18.37
2,2015-01-27 22:58:00,2015-01-28 00:33:00,3,4.92,-73.973229,40.73795,1,N,-73.974066,40.71867,1,16.12,0.0,0.5,3.12,0.0,0.3,20.04
2,2015-01-25 18:45:00,2015-01-25 19:40:00,1,16.87,-73.920875,40.769932,1,N,-73.929614,40.784842,1,51.99,0.5,0.5,5.62,0.0,0.3,58.91
2,2015-01-30 08:32:00,2015-01-30 09:28:00,1,6.3,-73.983848,40.759836,1,N,-73.969758,40.766548,1,18.74,1.0,0.5,0.69,0.0,0.3,21.23
1,2015-01-29 16:47:00,2015-01-29 17:21:00,5,15.89,-73.968498,40.726778,1,N,-73.968963,40.73628,1,45.46,0.0,0.5,7.9,0.0,0.3,54.16
1,2015-01-01 07:44:00,2015-01-01 09:15:00,3,8.97,-73.968349,40.731695,1,N,-73.964065,40.736947,1,30.18,0.5,0.5,1.43,0.0,0.3,32.91
1,2015-01-28 03:21:00,2015-01-28 04:41:00,1,19.04,-73.96148,40.765222,1,N,-73.978643,40.755398,1,53.59,0.0,0.5,0.49,0.0,0.3,54.88
1,2015-01-28 09:00:00,2015-01-28 10:01:00,4,4.32,-73.980238,40.748204,1,N,-74.000018,40.728511,1,16.92,0.0,0.5,0.37,0.0,0.3,18.09
1,2015-01-21 20:48:00,2015-01-21 21:56:00,1,18.67,-73.95848,40.729349,1,N,-73.964671,40.729645,2,50.64,0.0,0.5,7.11,10.0,0.3,68.55
1,2015-01-13 13:44:00,2015-01-13 13:49:00,4,17.7,-73.973215,40.772986,1,N,-73.964478,40.791147,2,50.97,1.0,0.5,0.02,0.0,0.3,52.79
2,2015-01-15 22:48:00,2015-01-15 23:39:00,2,13.47,-73.915408,40.725669,1,N,-73.913425,40.741682,1,41.69,0.0,0.5,6.25,0.0,0.3,48.74
